OBJECTID,NUMBER_OF_RACKS,CAPACITY,TYPE,GLOBALID,x,y
167,1,2,Inverted U,1a3d975f-9ddb-4d95-97ca-32bd6d5842ef,6521667.08103225,1884623.70814508
168,1,2,Inverted U,afff4f91-8663-461b-85b8-cf4ab0e859e6,6521741.28147796,1884648.18852253
169,1,2,Inverted U,5506fa7f-f0ea-4af8-a3ed-2310decd4428,6521661.6768091,1884449.00600302
170,1,2,Inverted U,2f8b25a2-78f2-4d4f-861c-bd33c163edf2,6521721.30388521,1884114.15606725
171,1,2,Sub-Standard,42bea23d-3706-49ac-9a6d-7cb8d62b44ed,6521687.43386681,1883215.64323439
172,1,2,Inverted U,ab30a16d-b7c5-4b87-b0bc-dea6bf666f2c,6521697.15687057,1883518.37744315
173,1,2,Inverted U,9bd6b9e1-7838-4139-8b5c-9015f80b59f2,6521705.58746745,1883699.06358375
174,1,2,Inverted U,14c1358c-0264-4c51-8039-e0ad6f1cf849,6521559.9806823,1880188.93647783
175,1,2,Inverted U,dc060054-0f33-4630-8dfd-624457c0be69,6521396.64775531,1879879.8116048
176,1,2,Sub-Standard,cccb0710-9df6-4924-9e34-f99174e2c4d2,6521561.49658544,1879675.48546384
177,1,2,Sub-Standard,8e677b5f-16af-47f0-9bba-96ff9e5dd296,6521566.61619237,1878926.91055544
178,1,2,Inverted U,c55c7ffa-5eb6-4a6a-9f72-b094e99348bb,6521534.44883411,1878583.55215125
179,1,2,Inverted U,00c62eb5-a1cd-4cb2-942c-0038fdebd6c2,6521583.66631028,1876258.21461566
180,1,2,Sub-Standard,3fde97e5-e7dc-42e5-a06e-a662199cc133,6521587.88103765,1875952.17467378
181,1,2,Sub-Standard,9e41fc11-d7f9-463b-9679-74a99bfb13ee,6521668.20756307,1875794.02146327
182,1,2,Sub-Standard,5e40eb6a-d422-457e-84cb-e6cbb0e6cca7,6521659.98067977,1876747.19848949
183,3,6,Inverted U,483ea627-abe5-4ee3-bbbf-83aab175baaa,6521648.83840209,1878673.76654609
184,1,2,Inverted U,d2a5bcdf-a829-437f-ad8d-3afaee9d54dc,6521642.19482373,1879982.1048004
185,1,2,Inverted U,953acda6-bdf6-47f9-bd7e-fad2bfef9b2d,6521698.08954255,1880566.88841163
186,1,2,Inverted U,b2359104-e8ac-4190-99f9-69c2bbc08600,6521663.39578153,1880600.01231
187,1,2,Inverted U,aaddf968-3a9b-4d61-b589-067fde403fec,6521508.48487063,1881196.9343044
188,1,2,Sub-Standard,bcf9fa85-91a7-4a55-9495-c481b14b3b20,6531784.95201518,1878624.84015833
189,12,24,Inverted U,58e8baaa-82ef-4cb1-b2b0-bb5503996ca8,6511116.38886143,1879097.10275236
190,1,2,Inverted U,29ec06d7-7b52-436d-907e-6d66537c5205,6516149.41562286,1888271.12298973
191,1,2,Inverted U,801715a6-c287-43f6-9828-4aaf17cc406b,6516052.17113271,1886949.65067135
192,1,2,Sub-Standard,f4b72067-713f-44be-bcfc-951527e4ade3,6516066.00589417,1883978.4313236
193,1,2,Inverted U,2d544248-d84a-423b-af01-07311fc86229,6534244.40206954,1875553.93051283
194,1,2,Inverted U,5e47d97d-cc81-42da-863d-b047017648ee,6532634.48693155,1875550.41109423
195,1,2,Inverted U,65173664-0738-4151-a8b7-cc21a83909c1,6529001.70304747,1875591.7741614
196,1,2,Inverted U,dd0c3141-2b88-446c-9626-a02ccd408e5d,6522454.77460018,1875549.82038049
197,1,2,Inverted U,d2130467-a8df-40fe-abf0-bd2e332a04c4,6533160.98280436,1883471.19695634
198,3,6,Inverted U,9d7e28aa-7c6b-4202-858a-83d8d85f08b1,6527379.43380544,1877764.74651761
199,1,2,Sub-Standard,ea5eee97-a63f-4f49-bb40-4603a70b998f,6527244.9092616,1883992.22921395
200,1,2,Sub-Standard,27c56310-6e3f-4603-85fc-3279a8711761,6516073.74553126,1882626.67248325
201,1,2,Inverted U,fcce68c8-b944-42be-ad24-5107f034b2c6,6516077.72025967,1881873.8484071
202,1,2,Sub-Standard,7bcd809e-581a-4200-849d-3dcb9cd5ad8c,6516090.49407636,1879412.96879944
203,1,2,Sub-Standard,ac15abb7-42b8-4870-8950-245dc93de086,6516128.13286918,1873345.63509753
204,1,2,Inverted U,69c1b3af-45e8-45d7-8aae-e8922e96a183,6516127.87097892,1873117.88558492
205,1,2,Sub-Standard,0491192a-42c5-409d-b6dd-dd10f7558f96,6516131.74950273,1872843.06012197
206,1,2,Sub-Standard,36abbcae-d507-4e74-b0c4-af5f322abf35,6516136.25184813,1871932.10772845
207,1,2,Sub-Standard,21b23710-2036-489b-9d17-5f5cf26faf54,6516141.46240281,1871093.99074444
208,1,2,Sub-Standard,83334adf-8a64-4556-8d69-a913682dc60e,6516139.22918244,1870455.00577621
209,1,2,Sub-Standard,62b02b44-e3bc-44f7-bc73-0eebe3d2b60c,6516155.46592498,1868773.31552917
210,1,2,Sub-Standard,7fb27871-3280-4773-93f3-34b8f1295e9d,6516219.90981981,1869019.73070852
211,1,2,Inverted U,df3ad0a4-5daa-4ef5-a338-7ff9a3a32434,6516216.96140546,1869564.1742866
212,1,2,Inverted U,6f081661-dab7-48b0-b190-d99d02e07681,6516202.10451785,1872040.77499779
213,1,2,Sub-Standard,e1a39a47-769b-4186-936a-dd80ae7b2fae,6517017.4848728,1875062.2975571
214,1,2,Inverted U,60f24c64-4708-4cc9-a6bb-2841ec05c0fd,6517047.64332701,1871938.08610408
215,1,2,Inverted U,addc601c-c520-4540-8c4c-5301532de913,6517050.82285202,1871716.18503965
216,1,2,Sub-Standard,2e50693a-0bc9-463c-bed9-e9f753dfa3bf,6517050.47398226,1871409.91662286
217,1,2,Sub-Standard,7e753d00-17b6-4ad5-96e1-06f5eb524d91,6517049.47821353,1871324.93051539
218,1,2,Inverted U,f98120e7-f270-4fb0-9f1e-d31d0f216007,6517053.80800568,1870946.45544536
219,6,12,Inverted U,51494ec4-e2e2-4658-a444-b6dac5628ab5,6516884.89370438,1870815.31207544
220,1,2,Inverted U,3e5fc512-01a1-4072-9cbb-b0d876e9b732,6517145.9027243,1869949.48308915
221,1,2,Inverted U,7a893536-d594-4d97-94fc-75bcb98c999e,6517134.97279958,1871229.79675682
222,1,2,Inverted U,5191f507-153a-46ab-ab2c-3e4e7fbfb424,6517177.60301442,1871496.03317086
223,1,2,Inverted U,1a657e1d-b465-47b8-a723-1117e402e6f1,6517128.21389286,1872188.49703921
224,1,2,Sub-Standard,d82a84d3-b218-4799-9c53-03c645c321be,6517123.97556096,1872920.72002316
225,1,2,Inverted U,ccf14ea3-4b78-4520-aec9-6f076743b364,6517113.50476788,1873422.73007132
226,1,2,Sub-Standard,15a7a8ee-3b51-4e19-8fcd-b913456ab4e7,6517108.29753718,1874098.04430786
227,1,2,Sub-Standard,4015cc81-c889-4d06-83ff-247570fa2bcc,6517110.47577304,1874057.99810138
228,1,2,Inverted U,bea410f4-672d-43bc-b23d-ebc3a5bad05d,6517167.77184275,1874219.51284952
229,8,16,Sub-Standard,b9234fda-3958-4b79-a564-c7fa5d26709f,6517125.5642838,1876119.21601671
230,1,2,Inverted U,97e1c30d-5372-4590-aee0-8823293430c0,6516680.2462811,1872068.40795711
231,1,2,Inverted U,8c536724-9a92-4180-a135-4b3c6dbe9d14,6516674.72454779,1872855.73621118
232,1,2,Inverted U,0a62eb95-4f38-42fd-9bd7-1daa03b6b1f1,6516671.05664906,1873420.09870747
233,1,2,Sub-Standard,ed2ab6b4-25c7-4bdc-845b-92a19e183152,6518939.06707177,1874015.35445891
234,1,2,Sub-Standard,a91fef94-130f-44e3-a7d4-cc0832fb012c,6518920.6236127,1873942.39426164
235,1,2,Sub-Standard,f1ed6821-e796-4e91-b0c4-f38b3fb634e5,6518864.83616857,1874304.16360275
